size,time,top_individuals,crossover,mutation_rate,board_size
30,0.019700744152069093,3,combinations_with_rep,0.060000000000000005,5
45,0.018594980239868164,3,product,0.07,5
30,0.01628058195114136,3,permutations,0.07,5
30,0.020711350440979003,3,combinations_with_rep,0.07,5
45,0.019304273128509523,3,product,0.08,5
30,0.015169546604156495,3,permutations,0.08,5
30,0.018126201629638673,3,combinations_with_rep,0.08,5
30,0.012188305854797363,3,permutations,0.12000000000000001,5
30,0.016407339572906493,3,combinations_with_rep,0.12000000000000001,5
45,0.012601945400238037,3,product,0.13,5
30,0.012897992134094238,3,permutations,0.13,5
30,0.014304680824279785,3,combinations_with_rep,0.13,5
45,0.010866210460662842,3,product,0.14,5
30,0.012741410732269287,3,permutations,0.14,5
30,0.014616448879241944,3,combinations_with_rep,0.14,5
45,0.011563260555267334,3,product,0.15000000000000002,5
30,0.01203204870223999,3,permutations,0.15000000000000002,5
45,0.014856679439544678,3,product,0.09,5
30,0.015313515663146973,3,permutations,0.09,5
30,0.01916487216949463,3,combinations_with_rep,0.09,5
45,0.018210864067077635,3,product,0.1,5
30,0.01539849042892456,3,permutations,0.1,5
30,0.01367889642715454,3,combinations_with_rep,0.1,5
45,0.011575562953948975,3,product,0.11,5
30,0.014219701290130615,3,permutations,0.11,5
30,0.016876111030578612,3,combinations_with_rep,0.11,5
45,0.01312587022781372,3,product,0.12000000000000001,5
30,0.012969608306884766,3,combinations_with_rep,0.15000000000000002,5
45,0.01103933572769165,3,product,0.16,5
30,0.01242922306060791,3,permutations,0.16,5
30,0.015085976123809814,3,combinations_with_rep,0.16,5
45,0.01117872953414917,3,product,0.16999999999999998,5
30,0.0125008225440979,3,permutations,0.16999999999999998,5
30,0.014700775146484374,3,combinations_with_rep,0.16999999999999998,5
45,0.010469446182250977,3,product,0.18,5
30,0.01281334161758423,3,permutations,0.18,5
30,0.015782291889190673,3,combinations_with_rep,0.18,5
45,0.011250746250152589,3,product,0.19,5
30,0.010414292812347412,3,permutations,0.19,5
30,0.012272961139678955,3,combinations_with_rep,0.19,5
45,0.010398173332214355,3,product,0.2,5
30,0.011563267707824707,3,permutations,0.2,5
30,0.014616451263427734,3,combinations_with_rep,0.2,5
45,0.012669391632080078,3,product,0.21000000000000002,5
